destination,original_date,refugees,date,origin,origin_iso2,origin_lat,origin_long,des_iso2,des_lat,des_long
Belarus,2/28/2022,329,2/28/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,2/28/2022,89561,2/28/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,2/28/2022,65099,2/28/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,2/28/2022,51797,2/28/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,2/28/2022,353504,2/28/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,2/28/2022,38461,2/28/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,2/28/2022,37900,2/28/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,2/28/2022,30000,2/28/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/1/2022,341,3/1/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/1/2022,116348,3/1/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/1/2022,79315,3/1/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
Others,3/1/2022,69600,3/1/2022,Ukraine,UA,48.3794,31.1656,EU,54.526,15.2551
Poland,3/2/2022,505582,3/1/2022,Ukraine,UA,48.3794,31.1656,PL,51.9194,19.1451
Romania,3/1/2022,44540,3/1/2022,Ukraine,UA,48.3794,31.1656,RO,45.9432,24.9668
Russia,3/1/2022,47800,3/1/2022,Ukraine,UA,48.3794,31.1656,RU,55.7558,37.6173
Slovakia,3/2/2022,71200,3/1/2022,Ukraine,UA,48.3794,31.1656,SK,48.669,19.699
Belarus,3/2/2022,374,3/2/2022,Ukraine,UA,48.3794,31.1656,BY,53.7098,27.9534
Hungary,3/2/2022,133009,3/2/2022,Ukraine,UA,48.3794,31.1656,HU,47.1625,19.5033
Moldova,3/2/2022,97827,3/2/2022,Ukraine,UA,48.3794,31.1656,MD,47.4116,28.3699
